features,model,strategy,n_dim,macro,joint,mae,bias_B1,bias_B2,bias_B3,bias_B4
F0+spatial,LGB,train_val,21,0.7340425531914894,0.2978723404255319,1.0921985815602837,0.05673758865248227,-0.14184397163120568,-0.12056737588652482,0.02127659574468085
F0+conf+distrib,LGB,train_only,53,0.7340425531914894,0.28368794326241137,1.0886524822695036,0.0425531914893617,-0.11347517730496454,-0.11347517730496454,-0.0425531914893617
F0+spatial,XGB,train_only,21,0.7322695035460993,0.2978723404255319,1.1081560283687941,0.014184397163120567,-0.19858156028368795,-0.16312056737588654,0.1276595744680851
F0+conf,LGB,train_val,33,0.7322695035460992,0.24113475177304963,1.0851063829787235,0.0,-0.1347517730496454,-0.1276595744680851,-0.02127659574468085
F_all,LR,train_only,67,0.7322695035460992,0.2765957446808511,1.0921985815602837,0.0070921985815602835,-0.16312056737588654,-0.16312056737588654,0.14893617021276595
F0+conf,XGB,train_val,33,0.7304964539007093,0.28368794326241137,1.1099290780141844,0.014184397163120567,-0.06382978723404255,-0.1347517730496454,0.0
F0+distrib+spatial,LGB,train_val,41,0.7304964539007092,0.2624113475177305,1.1134751773049645,0.02127659574468085,-0.10638297872340426,-0.15602836879432624,0.05673758865248227
F_all,LGB,train_val,67,0.7287234042553191,0.2624113475177305,1.1134751773049645,0.02127659574468085,-0.1276595744680851,-0.10638297872340426,0.014184397163120567
F_all,XGB,train_val,67,0.7269503546099292,0.2553191489361702,1.0939716312056738,-0.014184397163120567,-0.1702127659574468,-0.09929078014184398,0.12056737588652482
F_all,LGB,train_only,67,0.7251773049645391,0.2553191489361702,1.0975177304964538,0.03546099290780142,-0.14184397163120568,-0.15602836879432624,0.014184397163120567
