features,model,strategy,n_dim,train_trees,test_trees,macro,joint,mae,acc_B1,acc_B2,acc_B3,acc_B4,mae_B1,mae_B2,mae_B3,mae_B4,bias_B1,bias_B2,bias_B3,bias_B4
F0+distrib+spatial,ElasticNet,train_val,41,812,141,0.7588652482269503,0.2907801418439716,1.053191489361702,0.9645390070921985,0.8156028368794326,0.5390070921985816,0.7163120567375887,0.3617021276595745,1.0638297872340425,1.5886524822695036,1.198581560283688,0.02127659574468085,-0.0425531914893617,-0.14184397163120568,0.02127659574468085
F_all,LR,train_only,67,716,141,0.7322695035460992,0.2765957446808511,1.0921985815602837,0.9574468085106383,0.8085106382978723,0.5035460992907801,0.6595744680851063,0.4326241134751773,1.0,1.6524822695035462,1.2836879432624113,0.0070921985815602835,-0.16312056737588654,-0.16312056737588654,0.14893617021276595
F_all,SVM,train_only,67,716,141,0.7393617021276596,0.24822695035460993,1.0567375886524821,0.9716312056737588,0.8014184397163121,0.5035460992907801,0.6808510638297872,0.41843971631205673,0.9645390070921985,1.6382978723404256,1.2056737588652482,-0.03546099290780142,-0.48226950354609927,-0.3475177304964539,-0.19858156028368795
F_all,RF,train_only,67,716,141,0.7446808510638298,0.2765957446808511,1.0638297872340425,0.9645390070921985,0.7659574468085106,0.5531914893617021,0.6950354609929078,0.41134751773049644,1.0354609929078014,1.5602836879432624,1.24822695035461,-0.028368794326241134,-0.09929078014184398,-0.19858156028368795,0.19858156028368795
F_all,Ridge,train_only,67,716,141,0.774822695035461,0.3262411347517731,1.0354609929078014,0.9716312056737588,0.8297872340425532,0.574468085106383,0.723404255319149,0.36879432624113473,1.0141843971631206,1.553191489361702,1.2056737588652482,0.014184397163120567,-0.07801418439716312,-0.1773049645390071,0.07092198581560284
F_all,ElasticNet,train_only,67,716,141,0.7588652482269503,0.2907801418439716,1.0585106382978724,0.9716312056737588,0.8085106382978723,0.5390070921985816,0.7163120567375887,0.36879432624113473,1.0354609929078014,1.5815602836879432,1.24822695035461,0.0,-0.0851063829787234,-0.10638297872340426,0.07092198581560284
F_all,LR,train_val,67,812,141,0.7375886524822695,0.2765957446808511,1.0549645390070923,0.9432624113475178,0.7943262411347518,0.5390070921985816,0.6737588652482269,0.425531914893617,1.0283687943262412,1.553191489361702,1.2127659574468086,0.014184397163120567,-0.09219858156028368,-0.1773049645390071,0.10638297872340426
F_all,SVM,train_val,67,812,141,0.7375886524822695,0.24822695035460993,1.0602836879432624,0.9716312056737588,0.7943262411347518,0.5106382978723404,0.6737588652482269,0.41134751773049644,0.9645390070921985,1.6595744680851063,1.2056737588652482,-0.028368794326241134,-0.49645390070921985,-0.2695035460992908,-0.19858156028368795
F_all,RF,train_val,67,812,141,0.75177304964539,0.2765957446808511,1.0585106382978724,0.9645390070921985,0.7943262411347518,0.5390070921985816,0.7092198581560284,0.3900709219858156,1.0283687943262412,1.6028368794326242,1.2127659574468086,-0.0070921985815602835,-0.09219858156028368,-0.19858156028368795,0.10638297872340426
F_all,Ridge,train_val,67,812,141,0.7641843971631206,0.2907801418439716,1.0443262411347516,0.9716312056737588,0.8297872340425532,0.5460992907801419,0.7092198581560284,0.3617021276595745,1.0070921985815602,1.5886524822695036,1.2198581560283688,0.0070921985815602835,-0.0851063829787234,-0.15602836879432624,0.0425531914893617
F_all,ElasticNet,train_val,67,812,141,0.7606382978723404,0.2978723404255319,1.0585106382978724,0.9716312056737588,0.8085106382978723,0.5460992907801419,0.7163120567375887,0.3617021276595745,1.0425531914893618,1.5815602836879432,1.24822695035461,-0.0070921985815602835,-0.04964539007092199,-0.12056737588652482,0.05673758865248227
