threshold,features,model,test_detections,acc_B1,mae_B1,rmse_B1,bias_B1,acc_B2,mae_B2,rmse_B2,bias_B2,acc_B3,mae_B3,rmse_B3,bias_B3,acc_B4,mae_B4,rmse_B4,bias_B4,macro,mae,rmse,joint,exact,total_mae,total_rmse,total_bias,total_acc
0.4,F_all,Ridge,1223.0,0.9574468085106383,0.3971631205673759,0.7145896010104964,-0.05673758865248227,0.7375886524822695,1.1702127659574468,1.5822598077720296,-0.09219858156028368,0.475177304964539,1.7588652482269505,2.2376532793490505,-0.11347517730496454,0.6099290780141844,1.4042553191489362,1.802283815150824,0.0851063829787234,0.6950354609929077,1.1826241134751774,1.5841966258206002,0.19858156028368795,0.0070921985815602835,2.4893617021276597,3.122782901459112,-0.1773049645390071,0.3546099290780142
0.5,F0,ElasticNet,799.0,0.9432624113475178,0.375886524822695,0.7389853116132565,-0.1347517730496454,0.723404255319149,1.2411347517730495,1.6220991565742413,-0.10638297872340426,0.48936170212765956,1.7943262411347518,2.2455630010065097,-0.02127659574468085,0.5106382978723404,1.5390070921985815,1.9111468466613302,0.12056737588652482,0.6666666666666666,1.2375886524822695,1.6294485789638342,0.1773049645390071,0.0,2.6950354609929077,3.3833132445338694,-0.14184397163120568,0.3262411347517731
0.5,F0,Ridge,799.0,0.9361702127659575,0.3971631205673759,0.762600999007963,-0.11347517730496454,0.723404255319149,1.2411347517730495,1.6220991565742413,-0.10638297872340426,0.48936170212765956,1.8156028368794326,2.259730731464128,-0.0851063829787234,0.5106382978723404,1.5460992907801419,1.913001429190555,0.11347517730496454,0.6648936170212766,1.25,1.639358079059222,0.1702127659574468,0.0,2.74468085106383,3.4404766286990114,-0.19148936170212766,0.3262411347517731
0.5,F_all,Ridge,799.0,0.9574468085106383,0.3829787234042553,0.7244464749279004,-0.09929078014184398,0.75177304964539,1.2269503546099292,1.5911991998543178,-0.06382978723404255,0.48936170212765956,1.851063829787234,2.29553992474522,0.0070921985815602835,0.5177304964539007,1.574468085106383,1.931449314349385,0.1702127659574468,0.6790780141843973,1.2588652482269505,1.6356587284692057,0.2127659574468085,0.0,2.75177304964539,3.4042109926192152,0.014184397163120567,0.3120567375886525
0.6,F0,ElasticNet,433.0,0.9574468085106383,0.41843971631205673,0.7485210003355033,-0.2624113475177305,0.5673758865248227,1.3404255319148937,1.7279512732819984,0.1347517730496454,0.5390070921985816,1.7801418439716312,2.3353587966776876,-0.14893617021276595,0.5035460992907801,1.5460992907801419,1.924091385453006,0.0425531914893617,0.6418439716312057,1.271276595744681,1.683980613937049,0.1773049645390071,0.0070921985815602835,2.9148936170212765,3.605551275463989,-0.23404255319148937,0.28368794326241137
0.6,F0,Ridge,433.0,0.9574468085106383,0.41134751773049644,0.74376843799781,-0.2127659574468085,0.6950354609929078,1.2765957446808511,1.6885093514065102,-0.1702127659574468,0.5531914893617021,1.7730496453900708,2.3307990289759384,-0.14184397163120568,0.49645390070921985,1.5460992907801419,1.927773860373044,0.05673758865248227,0.6755319148936171,1.25177304964539,1.6727126696883257,0.2127659574468085,0.014184397163120567,2.8652482269503547,3.592742882317035,-0.46808510638297873,0.3191489361702128
0.6,F_all,Ridge,433.0,0.9574468085106383,0.3971631205673759,0.7341710238075196,-0.15602836879432624,0.7092198581560284,1.2127659574468086,1.6438149712101018,-0.12056737588652482,0.5531914893617021,1.7943262411347518,2.344451727101503,-0.09219858156028368,0.5035460992907801,1.5602836879432624,1.9424339487843778,0.07092198581560284,0.6808510638297872,1.2411347517730498,1.6662179177258756,0.23404255319148937,0.014184397163120567,2.8226950354609928,3.4967056431175227,-0.2978723404255319,0.3191489361702128
0.7,F0,ElasticNet,125.0,0.9432624113475178,0.6879432624113475,0.9109265799407509,0.23404255319148937,0.574468085106383,1.297872340425532,1.6567078351549587,0.20567375886524822,0.524822695035461,1.8085106382978724,2.371521341919002,0.0070921985815602835,0.5106382978723404,1.5673758865248226,1.9332844210002493,0.03546099290780142,0.6382978723404256,1.3404255319148937,1.7181100445037403,0.1702127659574468,0.0,3.148936170212766,3.93024280555773,0.48226950354609927,0.24822695035460993
0.7,F0,Ridge,125.0,0.9432624113475178,0.6950354609929078,0.9148111458788166,0.24113475177304963,0.574468085106383,1.297872340425532,1.6567078351549587,0.20567375886524822,0.524822695035461,1.8085106382978724,2.371521341919002,0.0070921985815602835,0.5106382978723404,1.5673758865248226,1.9332844210002493,0.03546099290780142,0.6382978723404256,1.3421985815602837,1.7190811859882567,0.1702127659574468,0.0,3.1560283687943262,3.9329486529044564,0.48936170212765956,0.24113475177304963
0.7,F_all,Ridge,125.0,0.9361702127659575,0.7092198581560284,0.9301871999497492,0.3404255319148936,0.5673758865248227,1.3049645390070923,1.6631167868819408,0.18439716312056736,0.5177304964539007,1.7872340425531914,2.352002315818805,-0.014184397163120567,0.5035460992907801,1.5886524822695036,1.9497226571274984,0.07092198581560284,0.6312056737588652,1.3475177304964538,1.7237572399444985,0.14893617021276595,0.0,3.120567375886525,3.8592249249397987,0.5815602836879432,0.23404255319148937
