features,model,scale,shift,noise,macro,joint,mae,d_macro_pp,d_joint_pp
F0+spatial,Ridge,1.05,-0.1,0.0,0.7641843971631206,0.3191489361702128,1.0549645390070923,-0.17730496453900457,1.4184397163120588
F0+spatial,Ridge,1.05,-0.05,0.0,0.7659574468085106,0.3049645390070922,1.0460992907801419,0.0,0.0
F0+spatial,Ridge,1.05,-0.02,0.0,0.7659574468085106,0.3049645390070922,1.0496453900709222,0.0,0.0
F0+spatial,Ridge,1.05,0.0,0.0,0.7624113475177305,0.2978723404255319,1.0460992907801419,-0.35460992907800915,-0.7092198581560294
F0+spatial,Ridge,1.05,0.02,0.0,0.7606382978723404,0.2907801418439716,1.047872340425532,-0.5319148936170248,-1.4184397163120588
F0+spatial,Ridge,1.05,0.05,0.0,0.7553191489361702,0.2907801418439716,1.049645390070922,-1.0638297872340385,-1.4184397163120588
F0+spatial,Ridge,1.05,0.1,0.0,0.7606382978723404,0.2978723404255319,1.0372340425531914,-0.5319148936170248,-0.7092198581560294
F0+spatial,Ridge,1.1,-0.1,0.0,0.7641843971631206,0.3120567375886525,1.053191489361702,-0.17730496453900457,0.7092198581560294
F0+spatial,Ridge,1.1,-0.05,0.0,0.7659574468085106,0.3120567375886525,1.0443262411347518,0.0,0.7092198581560294
F0+spatial,Ridge,1.1,-0.02,0.0,0.7606382978723405,0.2907801418439716,1.0460992907801419,-0.5319148936170137,-1.4184397163120588
F0+spatial,Ridge,1.1,0.0,0.0,0.7588652482269503,0.2907801418439716,1.0460992907801419,-0.7092198581560294,-1.4184397163120588
F0+spatial,Ridge,1.1,0.02,0.0,0.7606382978723404,0.2907801418439716,1.0390070921985815,-0.5319148936170248,-1.4184397163120588
F0+spatial,Ridge,1.1,0.05,0.0,0.7606382978723404,0.2907801418439716,1.0425531914893618,-0.5319148936170248,-1.4184397163120588
F0+spatial,Ridge,1.1,0.1,0.0,0.7606382978723404,0.3049645390070922,1.0390070921985815,-0.5319148936170248,0.0
